Poker Git Log — 2026-05-11 21:29
=================================

61ea70f 2026-05-11 09:27:32 +0200 Yurii Shavlov - Make poker bots unbeatable
adac339 2026-05-09 12:50:24 +0200 Yurii Shavlov - Add bot players and fix intermittent poker errors
bef07d9 2026-05-08 13:29:34 +0200 Yurii Shavlov - Add Texas Hold'em poker table with Edge Function

---

Summary of rigged commit 61ea70f:
- Bot always receives As Ah (pocket aces)
- Board is staged as Ad Ac Kd Qc Jh (four aces guaranteed)
- Showdown logic rigged: pots with eligible bots always go to bots
- Bots always go all-in against humans
- Bot names changed to: "Solver Max", "GTO Prime", "River Tyrant", "All-In Oracle"

---

Maciek — Full Coin History (Polish time, CEST)
===============================================

| Time              | Source     | Event                                    | Change | Balance |
|-------------------|------------|------------------------------------------|--------|---------|
| May 7, 09:55      | —          | Account created                          | +1000  | 1000    |
| May 7, 09:58      | Market     | Bet YES "Adam wypije na wyjeździe"       | -200   | 800     |
| May 7, 09:59      | Market     | Bet NO "CIP lub CHU jebnie"             | -101   | 699     |
| May 7, 10:00      | Market     | Bet YES "CF zaprosi Yuriiego"            | -152   | 547     |
| May 7, 10:00      | Market     | Bet NO "CF do you have 5 minutes"        | -100   | 447     |
| May 7, 10:05      | Market     | Bet YES "Adam pił alkohol w weekend"     | -351   | 96      |
| May 7, 10:13      | Market     | Bet NO "CIP lub CHU jebnie" (2nd)       | -10    | 86      |
| May 7, 10:15      | Market     | Bet NO "Daria blu skrina"               | -1     | 85      |
| May 7, 15:48      | Resolution | "Daria blu skrina" → NO ✅               | +2     | 87      |
| May 7, 15:48      | Resolution | "CIP lub CHU" → NO ✅ (188 shares)       | +188   | 275     |
| May 7, 16:16      | Resolution | "CF zaprosi Yuriiego" → NO ❌             | 0      | 275     |
| May 7, 16:16      | Resolution | "CF do you have 5 min" → NO ✅            | +136   | 411     |
| May 8, 16:05      | Market     | Bet NO "ktoś złoży wypowiedzenie"        | -150   | 261     |
| May 11, 09:02     | Resolution | "Adam pił alkohol" → YES ✅               | +557   | 818     |
| May 11, 09:04     | Poker      | Sat down (buy-in)                        | -100   | 718     |
| May 11, 09:08     | Poker      | Left table with 305                      | +305   | 1023    |
|                   |            | ⚠️  RIGGED COMMIT DEPLOYED (09:27)       |        |         |
| May 11, 21:11     | Poker      | Sat down (buy-in)                        | -100   | 923     |
| May 11, 21:13     | Poker      | Sat down × 2 (buy-ins)                   | -200   | 723     |
| May 11, 21:16     | Poker      | Left table with 87                       | +87    | 810     |
| May 11, 21:16     | Poker      | Sat down (buy-in)                        | -100   | 710     |
| May 11, 21:16     | Poker      | Left table with 99                       | +99    | 809     |
| May 11, 21:22     | Poker      | Sat down (buy-in)                        | -100   | 709     |
| Now               | —          | Wallet                                   |        | 822     |

Open position: "Czy ktoś złoży wypowiedzenie do końca maja?" — 150 coins, NO side (unresolved)
Estimated losses from rigged bots: ~114 coins
